merseybeat,14.55163221085525,(255, 127, 14)
moombahton,14.55163221085525,(255, 187, 120)
new age,14.55163221085525,(255, 127, 14)
ninja,14.55163221085525,(255, 187, 120)
nu jazz,14.55163221085525,(227, 119, 194)
operatic pop,14.55163221085525,(247, 182, 210)
post-disco,14.55163221085525,(255, 187, 120)
progressive metal,14.55163221085525,(255, 152, 150)
punk blues,14.55163221085525,(140, 86, 75)
romantic,14.55163221085525,(247, 182, 210)
ska,14.55163221085525,(196, 156, 148)
swing,14.55163221085525,(227, 119, 194)
uk post-punk,14.55163221085525,(148, 103, 189)
baile funk,13.472193585307478,(44, 160, 44)
bebop,13.472193585307478,(227, 119, 194)
british folk,13.472193585307478,(197, 176, 213)
bubblegum dance,13.472193585307478,(255, 187, 120)
bubblegum pop,13.472193585307478,(31, 119, 180)
chanson,13.472193585307478,(31, 119, 180)
contemporary post-bop,13.472193585307478,(227, 119, 194)
cool jazz,13.472193585307478,(227, 119, 194)
drum and bass,13.472193585307478,(255, 187, 120)
dubstep,13.472193585307478,(255, 187, 120)
experimental,13.472193585307478,(255, 127, 14)
experimental rock,13.472193585307478,(255, 127, 14)
glitch hop,13.472193585307478,(255, 187, 120)
hardcore punk,13.472193585307478,(148, 103, 189)
hyphy,13.472193585307478,(174, 199, 232)
industrial,13.472193585307478,(255, 127, 14)
jazz funk,13.472193585307478,(227, 119, 194)
jazz fusion,13.472193585307478,(227, 119, 194)
k-hop,13.472193585307478,(255, 127, 14)
microhouse,13.472193585307478,(255, 187, 120)
post rock,13.472193585307478,(255, 127, 14)
post-punk,13.472193585307478,(148, 103, 189)
power metal,13.472193585307478,(255, 152, 150)
power pop,13.472193585307478,(31, 119, 180)
reggae rock,13.472193585307478,(196, 156, 148)
smooth jazz,13.472193585307478,(227, 119, 194)
texas country,13.472193585307478,(214, 39, 40)
thrash metal,13.472193585307478,(255, 152, 150)
uk garage,13.472193585307478,(31, 119, 180)
vallenato,13.472193585307478,(152, 223, 138)
workout,13.472193585307478,(127, 127, 127)
abstract hip hop,12.298373876248844,(174, 199, 232)
big band,12.298373876248844,(227, 119, 194)
blues,12.298373876248844,(140, 86, 75)
brazilian indie,12.298373876248844,(152, 223, 138)
celtic rock,12.298373876248844,(255, 127, 14)
chicano rap,12.298373876248844,(174, 199, 232)
children's music,12.298373876248844,(31, 119, 180)
chilean rock,12.298373876248844,(255, 127, 14)
choro,12.298373876248844,(152, 223, 138)
christian hip hop,12.298373876248844,(174, 199, 232)
country blues,12.298373876248844,(140, 86, 75)
cowpunk,12.298373876248844,(148, 103, 189)
death metal,12.298373876248844,(255, 152, 150)
deep house,12.298373876248844,(255, 187, 120)
freestyle,12.298373876248844,(255, 187, 120)
french pop,12.298373876248844,(31, 119, 180)
gothic metal,12.298373876248844,(255, 152, 150)
hard bop,12.298373876248844,(227, 119, 194)
hip house,12.298373876248844,(255, 187, 120)
indian pop,12.298373876248844,(31, 119, 180)
intelligent dance music,12.298373876248844,(255, 187, 120)
k-rock,12.298373876248844,(255, 127, 14)
latin metal,12.298373876248844,(152, 223, 138)
mambo,12.298373876248844,(152, 223, 138)
minimal techno,12.298373876248844,(255, 187, 120)
new weird america,12.298373876248844,(31, 119, 180)
noise rock,12.298373876248844,(255, 127, 14)
nueva cancion,12.298373876248844,(255, 127, 14)
nwobhm,12.298373876248844,(255, 152, 150)
opera,12.298373876248844,(247, 182, 210)
show tunes,12.298373876248844,(227, 119, 194)
stoner metal,12.298373876248844,(255, 152, 150)
stoner rock,12.298373876248844,(255, 127, 14)
swedish pop,12.298373876248844,(31, 119, 180)
tech house,12.298373876248844,(255, 187, 120)
trapstep,12.298373876248844,(174, 199, 232)
tribal house,12.298373876248844,(255, 187, 120)
western swing,12.298373876248844,(214, 39, 40)
acid house,11,(255, 187, 120)
acoustic blues,11,(140, 86, 75)
alternative emo,11,(148, 103, 189)
australian hip hop,11,(174, 199, 232)
bluegrass,11,(214, 39, 40)
celtic,11,(255, 127, 14)
chicago blues,11,(140, 86, 75)
chicago house,11,(255, 187, 120)
classical period,11,(247, 182, 210)
danish pop,11,(31, 119, 180)
death core,11,(255, 152, 150)
deep funk,11,(44, 160, 44)
desi,11,(31, 119, 180)
dub techno,11,(255, 187, 120)
eurobeat,11,(255, 127, 14)
eurovision,11,(31, 119, 180)
filmi,11,(31, 119, 180)
filthstep,11,(255, 187, 120)
fourth world,11,(127, 127, 127)
glitch,11,(255, 187, 120)
gothic rock,11,(255, 127, 14)
gothic symphonic metal,11,(255, 152, 150)
grave wave,11,(255, 187, 120)
jump up,11,(44, 160, 44)
latin jazz,11,(152, 223, 138)
mathcore,11,(255, 152, 150)
memphis blues,11,(140, 86, 75)
minimal,11,(247, 182, 210)
modern classical,11,(247, 182, 210)
neo classical metal,11,(247, 182, 210)
no wave,11,(255, 127, 14)
nu skool breaks,11,(255, 187, 120)
progressive bluegrass,11,(214, 39, 40)
shoegaze,11,(255, 127, 14)
soul jazz,11,(227, 119, 194)
stride,11,(227, 119, 194)
surf music,11,(255, 127, 14)
symphonic metal,11,(255, 152, 150)
texas blues,11,(140, 86, 75)
wonky,11,(255, 187, 120)
world,11,(127, 127, 127)
afrobeats,9.526279441628825,(148, 103, 189)
arab pop,9.526279441628825,(31, 119, 180)
avant-garde,9.526279441628825,(247, 182, 210)
avant-garde jazz,9.526279441628825,(227, 119, 194)
azonto,9.526279441628825,(127, 127, 127)
balearic,9.526279441628825,(255, 187, 120)
baroque,9.526279441628825,(247, 182, 210)
bhangra,9.526279441628825,(31, 119, 180)
canterbury scene,9.526279441628825,(255, 127, 14)
christian hardcore,9.526279441628825,(255, 152, 150)
christian metal,9.526279441628825,(255, 152, 150)
crossover thrash,9.526279441628825,(255, 152, 150)
cuban rumba,9.526279441628825,(152, 223, 138)
dark wave,9.526279441628825,(255, 127, 14)
delta blues,9.526279441628825,(140, 86, 75)
djent,9.526279441628825,(255, 152, 150)
doo-wop,9.526279441628825,(44, 160, 44)
doom metal,9.526279441628825,(255, 152, 150)
drone,9.526279441628825,(255, 152, 150)
ebm,9.526279441628825,(255, 127, 14)
electro-industrial,9.526279441628825,(255, 187, 120)
ethereal wave,9.526279441628825,(255, 127, 14)
fingerstyle,9.526279441628825,(140, 86, 75)
flamenco,9.526279441628825,(152, 223, 138)
folk punk,9.526279441628825,(197, 176, 213)
french hip hop,9.526279441628825,(174, 199, 232)
french rock,9.526279441628825,(255, 127, 14)
german hip hop,9.526279441628825,(174, 199, 232)
german pop,9.526279441628825,(31, 119, 180)
hardcore techno,9.526279441628825,(255, 187, 120)
illbient,9.526279441628825,(255, 187, 120)
irish folk,9.526279441628825,(197, 176, 213)
irish rock,9.526279441628825,(255, 127, 14)
j-dance,9.526279441628825,(255, 187, 120)
jangle pop,9.526279441628825,(31, 119, 180)
jump blues,9.526279441628825,(140, 86, 75)
jungle,9.526279441628825,(255, 187, 120)
kiwi rock,9.526279441628825,(255, 127, 14)
